 1.00000000e-04 4.82197833e-04 2.81276310e-05 6.96685661e-01
 1.47368421e-04 5.31472925e-04 3.66761776e-05 7.59459009e-01
 1.94736842e-04 6.09318039e-04 5.00864145e-05 7.70375377e-01
 2.42105263e-04 7.23975835e-04 5.83511500e-05 8.33395825e-01
 2.89473684e-04 8.26114660e-04 6.45485736e-05 8.05095802e-01
 3.36842105e-04 9.70551588e-04 7.52903523e-05 8.10768101e-01
 3.84210526e-04 1.17171082e-03 8.73686157e-05 8.52311878e-01
 4.31578947e-04 1.27744500e-03 9.30552022e-05 8.45446997e-01
 4.78947368e-04 1.31665389e-03 9.60941352e-05 8.68849746e-01
 5.26315789e-04 1.38108779e-03 1.03247787e-04 8.55301782e-01
 5.73684211e-04 1.50712150e-03 1.11304385e-04 8.36012011e-01
 6.21052632e-04 1.60566827e-03 1.18111305e-04 8.41440332e-01
 6.68421053e-04 1.76496613e-03 1.28804430e-04 8.46252745e-01
 7.15789474e-04 1.86946798e-03 1.32288912e-04 8.41205597e-01
 7.63157895e-04 2.05185287e-03 1.47801706e-04 8.48963503e-01
 8.10526316e-04 2.11003765e-03 1.51553174e-04 8.43696038e-01
 8.57894737e-04 6.06113111e-02 4.81681597e-02 8.49892213e-01
 9.05263158e-04 5.89213904e-02 4.68065309e-02 8.47415011e-01
 9.52631579e-04 6.99841765e-02 5.58210329e-02 8.43716173e-01
 1.00000000e-03 6.82343579e-02 5.44019929e-02 8.43310786e-01
