# Created by Octave 3.8.1, Wed Jun 03 10:38:51 2015 ART <mariano@choique>
# name: titulo
# type: sq_string
# elements: 1
# length: 49
# sigma R error_R phi error_phi theta error_theta


 1.00000000e-04 1.99999162e-01 9.64391626e-05 1.19999825e+02 3.37531080e-03 1.32190927e-01 9.20955233e-02
 1.47368421e-04 2.00004642e-01 1.06297052e-04 1.19999527e+02 4.40112397e-03 1.69758538e-01 1.28924651e-01
 1.94736842e-04 2.00015887e-01 1.21873288e-04 1.19999064e+02 6.01032286e-03 1.98926397e-01 1.53247998e-01
 2.42105263e-04 2.00004065e-01 1.44798110e-04 1.19999747e+02 7.00212324e-03 2.53836646e-01 2.11546401e-01
 2.89473684e-04 1.99996572e-01 1.65220100e-04 1.20000114e+02 7.74583619e-03 2.91153015e-01 2.34406070e-01
 3.36842105e-04 1.99994993e-01 1.94105458e-04 1.20000136e+02 9.03485252e-03 3.22516031e-01 2.61485710e-01
 3.84210526e-04 1.99988023e-01 2.34328130e-04 1.20000600e+02 1.04842863e-02 3.63570661e-01 3.09875593e-01
 4.31578947e-04 1.99983294e-01 2.55467660e-04 1.20000989e+02 1.11667163e-02 4.08981350e-01 3.45772054e-01
 4.78947368e-04 1.99983850e-01 2.63309515e-04 1.20000901e+02 1.15313828e-02 4.60329425e-01 3.99957104e-01
 5.26315789e-04 1.99987918e-01 2.76200872e-04 1.20000485e+02 1.23897845e-02 4.95705488e-01 4.23977787e-01
 5.73684211e-04 1.99983019e-01 3.01398707e-04 1.20001033e+02 1.33566412e-02 5.30377941e-01 4.43402329e-01
 6.21052632e-04 1.99991082e-01 3.21119335e-04 1.20000903e+02 1.41734633e-02 5.65253523e-01 4.75627112e-01
 6.68421053e-04 1.99987576e-01 3.52971298e-04 1.20000776e+02 1.54566315e-02 6.08763205e-01 5.15167533e-01
 7.15789474e-04 1.99984874e-01 3.73865318e-04 1.20000979e+02 1.58747990e-02 6.49154610e-01 5.46072491e-01
 7.63157895e-04 1.99988795e-01 4.10347582e-04 1.20000984e+02 1.77363501e-02 6.80584285e-01 5.77791219e-01
 8.10526316e-04 2.00002612e-01 4.22013042e-04 1.20000241e+02 1.81864174e-02 7.29154507e-01 6.15184769e-01
 8.57894737e-04 2.00598299e-01 1.21585259e-02 1.19720292e+02 5.76670615e+00 7.69750058e-01 6.54204580e-01
 9.05263158e-04 2.00562823e-01 1.18174404e-02 1.19736041e+02 5.60442870e+00 7.96097334e-01 6.74624831e-01
 9.52631579e-04 2.00802340e-01 1.40529864e-02 1.19624697e+02 6.67757415e+00 8.36019378e-01 7.05363070e-01
 1.00000000e-03 2.00763261e-01 1.36989522e-02 1.19643568e+02 6.50884854e+00 8.66597757e-01 7.30811236e-01
